titleId,level_1,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,title,averageRating,numVotes,director_name,budget,length,genres,director_rating,average_writer_rating
tt2803920,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Road to Kingsville,8.0,21,Jody White,1000.0,75.0,"['Drama', 'Thriller']",9925773.0,8488664.5
tt2804994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Love Will Tear Us Apart,5.6,46,Azure Valencia,25000.0,86.0,['Romance'],525773.0,525773.0
tt2805110,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rise of the Undead,5.6,48,Nicholas Woltersdorf,100.0,70.0,"['Action', 'Horror']",799041.0,1395948.5
tt2805814,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other People's Children,6.1,91,Liz Hinlein,700000.0,85.0,"['Drama', 'Romance']",453815.0,994336.0
tt2811888,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bad Water,8.6,9,Amman Abbasi,10000.0,13.0,"['Short', 'Drama']",183869.0,183869.0
tt2813440,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Close to Home,8.5,6,Casey McBeath,5000.0,13.0,"['Short', 'Action']",449957.0,449957.0
tt2813968,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Happenings of the Eighth Day,4.7,14,Arya Ghavamian,14000.0,82.0,"['Drama', 'Mystery', 'Romance']",764292.0,764292.0
tt2814048,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Ax,7.0,10,Michael Coulombe,1000.0,9.0,"['Short', 'Horror', 'Thriller']",230254.0,230254.0
tt2814362,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,United Passions,2.1,4027,Frédéric Auburtin,25000000.0,110.0,"['Drama', 'History', 'Sport']",152565.0,683387.5
tt2815762,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dark Divas,6.4,8,Brennan Pearl,11000.0,145.0,"['Crime', 'Drama']",2630482.0,2630482.0
tt2818178,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,When Animals Dream,5.8,3621,Jonas Alexander Arnby,3000000.0,84.0,"['Drama', 'Fantasy', 'Horror']",93652.0,180968.3333333333
tt2819178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Unwanted,4.5,16,Erin Brown Thomas,2500.0,5.0,"['Short', 'Music', 'Thriller']",175946.0,175946.0
tt2819610,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Papercut 2,7.0,6,Bryan Sanders,20000.0,120.0,['Adventure'],8429295.0,7817875.0
tt2820032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Zombie City,6.4,5,James Morales,10000.0,10.0,"['Short', 'Horror']",1740616.0,4318582.5
tt2820654,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Out of the Fire,5.8,5,John Kersey,35000.0,11.0,"['Short', 'Drama', 'Family']",3923487.0,3923487.0
